Entry	Entry name	Status	Protein names	Gene names	Organism	Length	yourlist:M2017100483C3DD8CE55183C76102DC5D3A26728BEC41F24
P51024	YAIL_ECOLI	reviewed	Uncharacterized protein YaiL	yaiL b0354 JW0345	Escherichia coli (strain K12)	179	P51024
P76116	YNCE_ECOLI	reviewed	Uncharacterized protein YncE	yncE b1452 JW1447	Escherichia coli (strain K12)	353	P76116
P60472	UPPS_ECOLI	reviewed	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)	ispU rth uppS yaeS b0174 JW0169	Escherichia coli (strain K12)	253	P60472
P62707	GPMA_ECOLI	reviewed	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA gpm pgm pgmA b0755 JW0738	Escherichia coli (strain K12)	250	P62707
P64626	YHEO_SHIFL	reviewed	Uncharacterized protein YheO	yheO SF3364 S4398	Shigella flexneri	240	P45533
P64625	YHEO_ECOL6	reviewed	Uncharacterized protein YheO	yheO c4120	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	240	P45533
P64624	YHEO_ECOLI	reviewed	Uncharacterized protein YheO	yheO b3346 JW5703	Escherichia coli (strain K12)	240	P45533
P64597	YRAP_ECOL6	reviewed	Uncharacterized protein YraP	yraP c3904	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	191	P45467
P64596	YRAP_ECOLI	reviewed	Uncharacterized protein YraP	yraP b3150 JW3119	Escherichia coli (strain K12)	191	P45467
P64598	YRAP_ECO57	reviewed	Uncharacterized protein YraP	yraP Z4509 ECs4031	Escherichia coli O157:H7	191	P45467
P0ADV7	MLAC_ECOLI	reviewed	Probable phospholipid-binding protein MlaC	mlaC yrbC b3192 JW3159	Escherichia coli (strain K12)	211	P45390
P0ADV8	MLAC_SHIFL	reviewed	Probable phospholipid-binding protein MlaC	mlaC SF3232 S3450	Shigella flexneri	211	P45390
P60752	MSBA_ECOLI	reviewed	Lipid A export ATP-binding/permease protein MsbA (EC 3.6.3.-)	msbA b0914 JW0897	Escherichia coli (strain K12)	582	P60752
P0A906	SLYB_ECO57	reviewed	Outer membrane lipoprotein SlyB	slyB Z2655 ECs2350	Escherichia coli O157:H7	155	P55741
P0A907	SLYB_SHIFL	reviewed	Outer membrane lipoprotein SlyB	slyB SF1668 S1800	Shigella flexneri	155	P55741
P0A905	SLYB_ECOLI	reviewed	Outer membrane lipoprotein SlyB	slyB b1641 JW1633	Escherichia coli (strain K12)	155	P55741
P0A6E0	AROK_SHIFL	reviewed	Shikimate kinase 1 (SK 1) (EC 2.7.1.71)	aroK SF3408 S4354	Shigella flexneri	173	P24167
P0A6D9	AROK_ECO57	reviewed	Shikimate kinase 1 (SK 1) (EC 2.7.1.71)	aroK Z4743 ECs4232	Escherichia coli O157:H7	173	P24167
P0A6D7	AROK_ECOLI	reviewed	Shikimate kinase 1 (SK 1) (EC 2.7.1.71) (Shikimate kinase I) (SKI)	aroK b3390 JW5947	Escherichia coli (strain K12)	173	P24167
P0A6D8	AROK_ECOL6	reviewed	Shikimate kinase 1 (SK 1) (EC 2.7.1.71)	aroK c4160	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	173	P24167
P0A8E8	YAJQ_ECOL6	reviewed	UPF0234 protein YajQ	yajQ c0537	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	163	P77482
P0A8E9	YAJQ_ECO57	reviewed	UPF0234 protein YajQ	yajQ Z0529 ECs0480	Escherichia coli O157:H7	163	P77482
P0A8E7	YAJQ_ECOLI	reviewed	UPF0234 protein YajQ	yajQ b0426 JW5058	Escherichia coli (strain K12)	163	P77482
Q00191	TRAI6_ECOLX	reviewed	Protein TraI	traI	Escherichia coli	732	Q00191
P0ADG6	SUHB_ECO57	reviewed	Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	suhB Z3800 ECs3399	Escherichia coli O157:H7	267	P22783
P0ADG4	SUHB_ECOLI	reviewed	Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	suhB ssyA b2533 JW2517	Escherichia coli (strain K12)	267	P22783
P0ADG5	SUHB_ECOL6	reviewed	Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	suhB c3059	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	267	P22783
P64603	MLAB_SHIFL	reviewed	Probable phospholipid ABC transporter-binding protein MlaB	mlaB SF3231 S3449	Shigella flexneri	97	P45389
P64602	MLAB_ECOLI	reviewed	Probable phospholipid ABC transporter-binding protein MlaB	mlaB yrbB b3191 JW5535	Escherichia coli (strain K12)	97	P45389
P08660	AK3_ECOLI	reviewed	Lysine-sensitive aspartokinase 3 (EC 2.7.2.4) (Aspartate kinase III) (AKIII) (Lysine-sensitive aspartokinase III)	lysC apk b4024 JW3984	Escherichia coli (strain K12)	449	P08660
P0A8W6	YQGE_ECOL6	reviewed	UPF0301 protein YqgE	yqgE c3534	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	187	P52049
P0A8W7	YQGE_SHIFL	reviewed	UPF0301 protein YqgE	yqgE SF2939 S3143	Shigella flexneri	187	P52049
P0A8W5	YQGE_ECOLI	reviewed	UPF0301 protein YqgE	yqgE b2948 JW2915	Escherichia coli (strain K12)	187	P52049
P63020	NFUA_ECOLI	reviewed	Fe/S biogenesis protein NfuA	nfuA gntY yhgI b3414 JW3377	Escherichia coli (strain K12)	191	P63020
P77552	YDHQ_ECOLI	reviewed	Uncharacterized protein YdhQ	ydhQ b1664 JW1656	Escherichia coli (strain K12)	418	P77552
P0CB39	EPTC_ECOLI	reviewed	Phosphoethanolamine transferase EptC (EC 2.7.-.-)	eptC cptA yijP b3955 JW3927	Escherichia coli (strain K12)	577	P32678
P0CB40	EPTC_ECOLX	reviewed	Phosphoethanolamine transferase EptC (EC 2.7.-.-)	eptC cptA yijP	Escherichia coli	577	P32678
P33362	YEHZ_ECOLI	reviewed	Glycine betaine-binding protein YehZ	yehZ osmF b2131 JW2119	Escherichia coli (strain K12)	305	P33362
P0A7S3	RS12_ECOLI	reviewed	30S ribosomal protein S12 (Small ribosomal subunit protein uS12)	rpsL strA b3342 JW3304	Escherichia coli (strain K12)	124	P02367
P0A7S4	RS12_ECOL6	reviewed	30S ribosomal protein S12	rpsL strA c4116	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	124	P02367
P0A7S7	RS12_SALTI	reviewed	30S ribosomal protein S12	rpsL strA STY4350 t4057	Salmonella typhi	124	P02367
P0A7S8	RS12_SHIFL	reviewed	30S ribosomal protein S12	rpsL strA SF3360 S4402	Shigella flexneri	124	P02367
P0A7S5	RS12_ECO57	reviewed	30S ribosomal protein S12	rpsL strA Z4700 ECs4193	Escherichia coli O157:H7	124	P02367
P0A7S6	RS12_SALTY	reviewed	30S ribosomal protein S12	rpsL strA STM3448	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	124	P02367
P37188	PTKB_ECOLI	reviewed	PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200)	gatB b2093 JW2077	Escherichia coli (strain K12)	94	P37188
P00957	SYA_ECOLI	reviewed	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS lovB b2697 JW2667	Escherichia coli (strain K12)	876	P00957
P0AG15	SOHB_SHIFL	reviewed	Probable protease SohB (EC 3.4.21.-)	sohB SF1274 S1359	Shigella flexneri	349	P24213
P0AG14	SOHB_ECOLI	reviewed	Probable protease SohB (EC 3.4.21.-)	sohB b1272 JW1264	Escherichia coli (strain K12)	349	P24213
P0AG28	YIBN_ECOL6	reviewed	Uncharacterized protein YibN	yibN c4436	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	143	P37688
P0AG29	YIBN_ECO57	reviewed	Uncharacterized protein YibN	yibN Z5038 ECs4489	Escherichia coli O157:H7	143	P37688
P0AG27	YIBN_ECOLI	reviewed	Uncharacterized protein YibN	yibN b3611 JW3586	Escherichia coli (strain K12)	143	P37688
P15484	CS32_ECOLX	reviewed	Outer membrane usher protein CS3-2 (CS3 pili synthesis 104 kDa protein)		Escherichia coli	937	P15484
P07762	GLGB_ECOLI	reviewed	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB b3432 JW3395	Escherichia coli (strain K12)	728	P07762
P00550	PTM3C_ECOLI	reviewed	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.197) (PTS system mannitol-specific EIIA component)]	mtlA b3599 JW3573	Escherichia coli (strain K12)	637	P00550
P0AA15	RL13_SHIFL	reviewed	50S ribosomal protein L13	rplM SF3271 S3486	Shigella flexneri	142	P02410
P0AA13	RL13_SALTY	reviewed	50S ribosomal protein L13	rplM STM3345	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	142	P02410
P0AA14	RL13_SALTI	reviewed	50S ribosomal protein L13	rplM STY3525 t3261	Salmonella typhi	142	P02410
P0AA11	RL13_ECOL6	reviewed	50S ribosomal protein L13	rplM c3985	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	142	P02410
P0AA12	RL13_ECO57	reviewed	50S ribosomal protein L13	rplM Z4589 ECs4104	Escherichia coli O157:H7	142	P02410
P0AA10	RL13_ECOLI	reviewed	50S ribosomal protein L13 (Large ribosomal subunit protein uL13)	rplM b3231 JW3200	Escherichia coli (strain K12)	142	P02410
P68918	RL25_SHIFL	reviewed	50S ribosomal protein L25	rplY SF2272 S2401	Shigella flexneri	94	P02426
P68919	RL25_ECOLI	reviewed	50S ribosomal protein L25 (Large ribosomal subunit protein bL25)	rplY b2185 JW2173	Escherichia coli (strain K12)	94	P02426
P75849	GLO22_ECOLI	reviewed	Hydroxyacylglutathione hydrolase GloC (EC 3.1.2.6) (Accessory type II glyoxalase) (Glyoxalase II 2) (GlxII-2)	gloC ycbL b0927 JW0910	Escherichia coli (strain K12)	215	P75849
P0ACG9	HSLR_ECOL6	reviewed	Heat shock protein 15 (HSP15)	hslR c4171	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	133	P45802
P0ACG8	HSLR_ECOLI	reviewed	Heat shock protein 15 (HSP15)	hslR yrfH b3400 JW3363	Escherichia coli (strain K12)	133	P45802
P0ACH0	HSLR_ECO57	reviewed	Heat shock protein 15 (HSP15)	hslR Z4754 ECs4242	Escherichia coli O157:H7	133	P45802
P14175	PROV_ECOLI	reviewed	Glycine betaine/proline betaine transport system ATP-binding protein ProV	proV b2677 JW2652	Escherichia coli (strain K12)	400	P14175
P30855	EVGS_ECOLI	reviewed	Sensor protein EvgS (EC 2.7.13.3)	evgS b2370 JW2367	Escherichia coli (strain K12)	1197	P30855
P0AD52	YFIA_SHIFL	reviewed	Ribosome-associated factor Y (pY) (Ribosome associated inhibitor A)	yfiA raiA SF2657 S2835	Shigella flexneri	113	P11285
P0AD50	YFIA_ECOL6	reviewed	Ribosome-associated factor Y (pY) (Ribosome associated inhibitor A)	yfiA raiA c3119	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	113	P11285
P0AD51	YFIA_ECO57	reviewed	Ribosome-associated factor Y (pY) (Ribosome associated inhibitor A)	yfiA raiA Z3890 ECs3460	Escherichia coli O157:H7	113	P11285
P0AD49	YFIA_ECOLI	reviewed	Ribosome-associated inhibitor A (Protein Y) (pY) (Ribosome associated factor Y) (Spot Y)	raiA yfiA b2597 JW2578	Escherichia coli (strain K12)	113	P11285
P0AEK3	FABG_SHIFL	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG SF1097 S1177	Shigella flexneri	244	P25716
P0AEK2	FABG_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG b1093 JW1079	Escherichia coli (strain K12)	244	P25716
P39177	USPG_ECOLI	reviewed	Universal stress protein UP12 (Universal stress protein G)	uspG ybdQ yzzU b0607 JW0600	Escherichia coli (strain K12)	142	P39177
P02924	ARAF_ECOLI	reviewed	L-arabinose-binding periplasmic protein (ABP)	araF b1901 JW1889	Escherichia coli (strain K12)	329	P02924
P25519	HFLX_ECOLI	reviewed	GTPase HflX (GTP-binding protein HflX)	hflX b4173 JW4131	Escherichia coli (strain K12)	426	P25519
P0AET8	HDHA_ECOLI	reviewed	7-alpha-hydroxysteroid dehydrogenase (7-alpha-HSDH) (EC 1.1.1.159)	hdhA hsdH b1619 JW1611	Escherichia coli (strain K12)	255	P25529
P0AET9	HDHA_ECO57	reviewed	7-alpha-hydroxysteroid dehydrogenase (7-alpha-HSDH) (EC 1.1.1.159)	hdhA Z2624 ECs2327	Escherichia coli O157:H7	255	P25529
P0A7M5	RL28_SHIFL	reviewed	50S ribosomal protein L28	rpmB SF3676 S4092	Shigella flexneri	78	P02428
P0A7M3	RL28_ECOL6	reviewed	50S ribosomal protein L28	rpmB c4461	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	78	P02428
P0A7M4	RL28_ECO57	reviewed	50S ribosomal protein L28	rpmB Z5061 ECs4512	Escherichia coli O157:H7	78	P02428
P0A7M2	RL28_ECOLI	reviewed	50S ribosomal protein L28 (Large ribosomal subunit protein bL28)	rpmB b3637 JW3612	Escherichia coli (strain K12)	78	P02428
P0A855	TOLB_ECOLI	reviewed	Protein TolB	tolB b0740 JW5100	Escherichia coli (strain K12)	430	P19935
P0A856	TOLB_ECOL6	reviewed	Protein TolB	tolB c0819	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	430	P19935
P0A857	TOLB_ECO57	reviewed	Protein TolB	tolB Z0908 ECs0775	Escherichia coli O157:H7	430	P19935
P0A8P5	FETP_SHIFL	reviewed	Probable Fe(2+)-trafficking protein	yggX SF2959 S3162	Shigella flexneri	91	P52065
P0A8P3	FETP_ECOLI	reviewed	Probable Fe(2+)-trafficking protein	yggX b2962 JW2929	Escherichia coli (strain K12)	91	P52065
P0A8P4	FETP_ECO57	reviewed	Probable Fe(2+)-trafficking protein	yggX Z4307 ECs3838	Escherichia coli O157:H7	91	P52065
P0A950	RIMJ_SHIFL	reviewed	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128) (Acetylating enzyme for N-terminal of ribosomal protein S5)	rimJ SF1072 S1150	Shigella flexneri	194	P09454
P0A948	RIMJ_ECOLI	reviewed	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128) (Acetylating enzyme for N-terminal of ribosomal protein S5)	rimJ b1066 JW1053	Escherichia coli (strain K12)	194	P09454
P0A949	RIMJ_ECO57	reviewed	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128) (Acetylating enzyme for N-terminal of ribosomal protein S5)	rimJ Z1703 ECs1444	Escherichia coli O157:H7	194	P09454
P60240	RAPA_ECOLI	reviewed	RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA)	rapA hepA yabA b0059 JW0058	Escherichia coli (strain K12)	968	P60240
P07118	SYV_ECOLI	reviewed	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS b4258 JW4215	Escherichia coli (strain K12)	951	P07118
P0ADT1	YGGN_ECO57	reviewed	Uncharacterized protein YggN	yggN Z4303 ECs3834	Escherichia coli O157:H7	239	P46143
P0ADT0	YGGN_ECOL6	reviewed	Uncharacterized protein YggN	yggN c3544	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	239	P46143
P0ADS9	YGGN_ECOLI	reviewed	Uncharacterized protein YggN	yggN b2958 JW2925	Escherichia coli (strain K12)	239	P46143
P36683	ACNB_ECOLI	reviewed	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114	Escherichia coli (strain K12)	865	P36683
P0A698	UVRA_ECOLI	reviewed	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA dinE b4058 JW4019	Escherichia coli (strain K12)	940	P07671
P0A699	UVRA_SHIFL	reviewed	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA dinE SF4146 S3583	Shigella flexneri	940	P07671
P00811	AMPC_ECOLI	reviewed	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	ampC ampA b4150 JW4111	Escherichia coli (strain K12)	377	P00811
P0AEL2	FDOI_ECO57	reviewed	Formate dehydrogenase, cytochrome b556(fdo) subunit (Aerobic formate dehydrogenase cytochrome b556 subunit) (FDH-Z subunit gamma) (Formate dehydrogenase-O subunit gamma)	fdoI Z5434 ECs4818	Escherichia coli O157:H7	211	P32174
P0AEL0	FDOI_ECOLI	reviewed	Formate dehydrogenase, cytochrome b556(fdo) subunit (Aerobic formate dehydrogenase cytochrome b556 subunit) (FDH-Z subunit gamma) (Formate dehydrogenase-O subunit gamma)	fdoI b3892 JW3863	Escherichia coli (strain K12)	211	P32174
P0AEL1	FDOI_ECOL6	reviewed	Formate dehydrogenase, cytochrome b556(fdo) subunit (Aerobic formate dehydrogenase cytochrome b556 subunit) (FDH-Z subunit gamma) (Formate dehydrogenase-O subunit gamma)	fdoI c4842	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	211	P32174
P76141	LSRR_ECOLI	reviewed	Transcriptional regulator LsrR	lsrR ydeW b1512 JW1505	Escherichia coli (strain K12)	317	P76141
P09053	AVTA_ECOLI	reviewed	Valine--pyruvate aminotransferase (EC 2.6.1.66) (Alanine--valine transaminase) (Transaminase C)	avtA b3572 JW5652	Escherichia coli (strain K12)	417	P09053
P0AF09	APBC_ECOL6	reviewed	Iron-sulfur cluster carrier protein	mrp c2641	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	369	P21590
P0AF08	APBC_ECOLI	reviewed	Iron-sulfur cluster carrier protein	mrp b2113 JW2100	Escherichia coli (strain K12)	369	P21590
P0A6Y4	IHFB_SHIFL	reviewed	Integration host factor subunit beta (IHF-beta)	ihfB himD SF0908 S0972	Shigella flexneri	94	P08756
P0A6Y2	IHFB_ECOL6	reviewed	Integration host factor subunit beta (IHF-beta)	ihfB himD c1050	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	94	P08756
P0A6Y3	IHFB_ECO57	reviewed	Integration host factor subunit beta (IHF-beta)	ihfB himD Z1258 ECs0995	Escherichia coli O157:H7	94	P08756
P0A6Y1	IHFB_ECOLI	reviewed	Integration host factor subunit beta (IHF-beta)	ihfB himD hip b0912 JW0895	Escherichia coli (strain K12)	94	P08756
P0AFK0	PMBA_ECOLI	reviewed	Metalloprotease PmbA (EC 3.4.-.-) (Protein TldE)	pmbA tldE b4235 JW4194	Escherichia coli (strain K12)	450	P24231
P0AFK1	PMBA_ECO57	reviewed	Metalloprotease PmbA (EC 3.4.-.-)	pmbA Z5845 ECs5212	Escherichia coli O157:H7	450	P24231
P05194	AROD_ECOLI	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	aroD b1693 JW1683	Escherichia coli (strain K12)	252	P05194
P0A751	MURA_SHIFL	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ SF3229 S3447	Shigella flexneri	419	P28909
P0A750	MURA_ECOL6	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ c3947	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	419	P28909
P0A749	MURA_ECOLI	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ b3189 JW3156	Escherichia coli (strain K12)	419	P28909
P0A764	NDK_ECO57	reviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk Z3781 ECs3380	Escherichia coli O157:H7	143	P24233
P0A765	NDK_SHIFL	reviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk SF2564 S2736	Shigella flexneri	143	P24233
P0A763	NDK_ECOLI	reviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk b2518 JW2502	Escherichia coli (strain K12)	143	P24233
P77562	YAIW_ECOLI	reviewed	Uncharacterized protein YaiW	yaiW b0378 JW0369	Escherichia coli (strain K12)	364	P77562
P25745	MNMA_ECOLI	reviewed	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA asuE trmU ycfB b1133 JW1119	Escherichia coli (strain K12)	368	P25745
P25888	RHLE_ECOLI	reviewed	ATP-dependent RNA helicase RhlE (EC 3.6.4.13)	rhlE b0797 JW0781	Escherichia coli (strain K12)	454	P25888
P06971	FHUA_ECOLI	reviewed	Ferrichrome-iron receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake)	fhuA tonA b0150 JW0146	Escherichia coli (strain K12)	747	P06971
P68187	MALK_ECOLI	reviewed	Maltose/maltodextrin import ATP-binding protein MalK (EC 3.6.3.19)	malK b4035 JW3995	Escherichia coli (strain K12)	371	P02914
P68188	MALK_ECO57	reviewed	Maltose/maltodextrin import ATP-binding protein MalK (EC 3.6.3.19)	malK Z5633 ECs5018	Escherichia coli O157:H7	371	P02914
P75783	YBIO_ECOLI	reviewed	Moderate conductance mechanosensitive channel YbiO	ybiO b0808 JW5108	Escherichia coli (strain K12)	741	P75783
P0ABZ9	SURA_SHIFL	reviewed	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA)	surA SF0050 S0052	Shigella flexneri	428	P21202
P0ABZ7	SURA_ECOL6	reviewed	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA)	surA c0066	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	428	P21202
P0ABZ8	SURA_ECO57	reviewed	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA)	surA Z0062 ECs0058	Escherichia coli O157:H7	428	P21202
P0ABZ6	SURA_ECOLI	reviewed	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA) (Survival protein A)	surA b0053 JW0052	Escherichia coli (strain K12)	428	P21202
P0A980	CSPG_ECO57	reviewed	Cold shock-like protein CspG (CPS-G)	cspG Z1406 ECs1145	Escherichia coli O157:H7	70	Q47130
P0A981	CSPG_SHIFL	reviewed	Cold shock-like protein CspG (CPS-G)	cspG SF0991 S1060	Shigella flexneri	70	Q47130
P0A979	CSPG_ECOL6	reviewed	Cold shock-like protein CspG (CPS-G)	cspG c1123	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	70	Q47130
P0A978	CSPG_ECOLI	reviewed	Cold shock-like protein CspG (CPS-G)	cspG cspI b0990 JW0974	Escherichia coli (strain K12)	70	Q47130
P16659	SYP_ECOLI	reviewed	Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS)	proS drpA b0194 JW0190	Escherichia coli (strain K12)	572	P16659
P75838	YCAO_ECOLI	reviewed	Ribosomal protein S12 methylthiotransferase accessory factor YcaO	ycaO b0905 JW0888	Escherichia coli (strain K12)	586	P75838
P16528	ICLR_ECOLI	reviewed	Transcriptional repressor IclR (Acetate operon repressor)	iclR b4018 JW3978	Escherichia coli (strain K12)	274	P16528
Q46856	YQHD_ECOLI	reviewed	Alcohol dehydrogenase YqhD (EC 1.1.1.-)	yqhD b3011 JW2978	Escherichia coli (strain K12)	387	Q46856
